angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.38,"[577, 210, 211, 281]",0.0,0.04,0.0,0.21,0.37,0.0
0.33,"[575, 208, 215, 287]",0.0,0.06,0.0,0.28,0.33,0.0
0.37,"[574, 210, 215, 283]",0.0,0.05,0.0,0.24,0.34,0.0
0.24,"[576, 202, 218, 293]",0.0,0.03,0.0,0.33,0.39,0.0
0.21,"[573, 203, 218, 292]",0.0,0.04,0.0,0.3,0.44,0.0
0.26,"[570, 203, 221, 288]",0.0,0.02,0.0,0.35,0.37,0.0
0.25,"[569, 200, 222, 293]",0.0,0.03,0.0,0.36,0.37,0.0
0.25,"[570, 204, 220, 289]",0.0,0.03,0.0,0.28,0.43,0.0
0.23,"[570, 204, 219, 289]",0.0,0.02,0.0,0.31,0.43,0.0
0.18,"[568, 203, 221, 289]",0.0,0.03,0.0,0.34,0.44,0.0
0.27,"[567, 201, 222, 290]",0.0,0.03,0.0,0.38,0.32,0.0
0.23,"[570, 204, 219, 287]",0.0,0.03,0.0,0.32,0.42,0.0
0.28,"[571, 205, 215, 285]",0.0,0.03,0.0,0.36,0.32,0.0
0.27,"[572, 208, 208, 280]",0.0,0.03,0.0,0.33,0.37,0.0
0.27,"[570, 207, 212, 282]",0.0,0.03,0.0,0.35,0.35,0.0
0.25,"[569, 207, 211, 281]",0.0,0.04,0.0,0.33,0.38,0.0
0.29,"[569, 206, 212, 284]",0.0,0.04,0.0,0.29,0.37,0.0
0.31,"[570, 206, 212, 284]",0.0,0.03,0.0,0.3,0.36,0.0
0.28,"[569, 206, 213, 284]",0.0,0.03,0.0,0.33,0.35,0.0
0.31,"[569, 207, 211, 281]",0.0,0.04,0.0,0.25,0.4,0.0
0.2,"[569, 206, 210, 282]",0.0,0.04,0.0,0.32,0.43,0.0
0.28,"[570, 209, 211, 279]",0.0,0.03,0.0,0.3,0.39,0.0
0.21,"[570, 210, 212, 278]",0.0,0.03,0.0,0.4,0.36,0.0
0.27,"[569, 209, 211, 279]",0.0,0.04,0.0,0.32,0.37,0.0
0.28,"[570, 209, 211, 279]",0.0,0.04,0.0,0.28,0.39,0.0
0.27,"[570, 210, 213, 279]",0.0,0.04,0.0,0.38,0.32,0.0
0.23,"[571, 211, 213, 280]",0.0,0.03,0.0,0.42,0.31,0.0
0.22,"[570, 209, 212, 280]",0.0,0.04,0.0,0.4,0.33,0.0
0.29,"[570, 210, 213, 279]",0.0,0.04,0.0,0.36,0.3,0.0
0.3,"[569, 207, 211, 282]",0.0,0.04,0.0,0.26,0.38,0.0
0.23,"[569, 205, 214, 285]",0.0,0.03,0.0,0.32,0.42,0.0
0.29,"[570, 209, 211, 280]",0.0,0.04,0.0,0.34,0.32,0.0
0.29,"[570, 208, 213, 282]",0.0,0.04,0.0,0.42,0.25,0.0
0.2,"[568, 205, 216, 285]",0.0,0.03,0.0,0.34,0.43,0.0
0.26,"[569, 209, 213, 280]",0.0,0.04,0.0,0.37,0.33,0.0
0.17,"[569, 209, 211, 280]",0.0,0.04,0.0,0.43,0.36,0.0
0.15,"[568, 204, 215, 287]",0.0,0.02,0.0,0.41,0.41,0.0
0.26,"[569, 208, 213, 282]",0.0,0.03,0.0,0.36,0.35,0.0
0.31,"[569, 206, 214, 285]",0.0,0.03,0.0,0.34,0.32,0.0
0.21,"[569, 203, 216, 289]",0.0,0.03,0.0,0.33,0.43,0.0
0.23,"[569, 209, 213, 280]",0.0,0.05,0.0,0.39,0.32,0.0
0.21,"[568, 209, 211, 279]",0.0,0.05,0.0,0.38,0.35,0.0
0.25,"[568, 206, 215, 285]",0.0,0.04,0.0,0.36,0.36,0.0
0.26,"[568, 208, 213, 281]",0.0,0.04,0.0,0.26,0.43,0.0
0.26,"[567, 207, 213, 284]",0.0,0.04,0.0,0.34,0.36,0.0
0.23,"[569, 207, 214, 284]",0.0,0.04,0.0,0.42,0.31,0.0
0.27,"[567, 206, 215, 286]",0.0,0.04,0.0,0.35,0.33,0.0
0.22,"[568, 208, 215, 282]",0.0,0.03,0.0,0.45,0.3,0.0
0.22,"[569, 208, 213, 282]",0.0,0.04,0.0,0.43,0.3,0.0
0.17,"[568, 203, 217, 289]",0.0,0.03,0.0,0.27,0.52,0.0
0.2,"[567, 205, 215, 287]",0.0,0.04,0.0,0.33,0.43,0.0
0.22,"[568, 206, 216, 285]",0.0,0.04,0.0,0.37,0.37,0.0
0.33,"[568, 208, 211, 282]",0.0,0.05,0.0,0.25,0.37,0.0
0.27,"[567, 206, 216, 285]",0.0,0.04,0.0,0.25,0.44,0.0
0.19,"[567, 202, 220, 292]",0.0,0.03,0.0,0.28,0.5,0.0
0.21,"[568, 203, 218, 289]",0.0,0.03,0.0,0.28,0.48,0.0
0.25,"[568, 207, 214, 285]",0.0,0.04,0.0,0.39,0.32,0.0
0.18,"[568, 204, 217, 287]",0.0,0.04,0.0,0.26,0.52,0.0
0.17,"[567, 204, 219, 287]",0.0,0.04,0.0,0.28,0.51,0.0
0.19,"[567, 205, 216, 286]",0.0,0.03,0.0,0.3,0.47,0.0
0.15,"[567, 204, 216, 288]",0.0,0.03,0.0,0.37,0.45,0.0
0.24,"[568, 207, 212, 282]",0.0,0.04,0.0,0.49,0.23,0.0
0.1,"[564, 207, 211, 274]",0.0,0.03,0.06,0.78,0.04,0.0
0.06,"[563, 205, 213, 275]",0.0,0.01,0.59,0.32,0.01,0.0
0.02,"[558, 202, 225, 286]",0.0,0.0,0.97,0.01,0.0,0.0
0.01,"[560, 203, 220, 281]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[561, 204, 212, 269]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[561, 202, 210, 270]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[563, 202, 207, 265]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[559, 201, 211, 269]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[559, 199, 212, 271]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[558, 198, 214, 271]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[558, 196, 213, 270]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[558, 194, 215, 272]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[556, 194, 218, 274]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[557, 192, 211, 271]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[554, 192, 221, 278]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[557, 197, 208, 266]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[557, 199, 207, 264]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[556, 201, 207, 263]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[553, 197, 212, 270]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[550, 194, 216, 277]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[549, 194, 215, 277]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[549, 193, 215, 279]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[553, 203, 211, 269]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[552, 203, 211, 268]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[548, 195, 216, 278]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[552, 201, 214, 272]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[552, 203, 212, 271]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[550, 200, 213, 273]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[551, 201, 212, 272]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[549, 200, 216, 278]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[554, 203, 211, 270]",0.0,0.0,1.0,0.0,0.0,0.0
